event_id,round,player,points,tournament_points,opponent
1,4,Tim Bailey,0,0,Jerzy Frączek
1,4,Jerzy Frączek,140,8,Tim Bailey
1,4,Ian Franklin,367,5,Robert Podeszwa
1,4,Robert Podeszwa,420,6,Ian Franklin
1,4,Nicholas Griffiths,195,6,Andrew Clarke
1,4,Andrew Clarke,177,5,Nicholas Griffiths
1,4,Matthew Chambers,189,2,Matthew Moncrief
1,4,Matthew Moncrief,430,9,Matthew Chambers
1,4,Bodhi Lovely,233,7,Ryder Curry
1,4,Ryder Curry,162,4,Bodhi Lovely
1,4,Michael Wright,0,5,Ryan Kubryn
1,4,Ryan Kubryn,27,6,Michael Wright
1,4,Kyle Holt,260,9,Rob Harrison
1,4,Rob Harrison,9,2,Kyle Holt
1,4,Forrest Weigel,21,4,Derek MacKinnon
1,4,Derek MacKinnon,109,7,Forrest Weigel
1,4,William Oder,247,7,Andy Jackson
1,4,Andy Jackson,140,4,William Oder
1,4,Joshua Gorhau,400,10,David Huber
1,4,David Huber,14,1,Joshua Gorhau
1,4,Drew Hunnicutt,243,3,Matthew Stoebner
1,4,Matthew Stoebner,420,8,Drew Hunnicutt
1,4,Christopher Dyson,64,2,Kevin Leintz
1,4,Kevin Leintz,295,9,Christopher Dyson
1,4,Nathanial Beaver,49,1,Paul Adler
1,4,Paul Adler,502,10,Nathanial Beaver
1,4,Justin Rasmussen,159,5,Nathan Ray
1,4,Nathan Ray,188,6,Justin Rasmussen
1,4,Adam Momsen,189,4,Michael Lyssy
1,4,Michael Lyssy,264,7,Adam Momsen
1,4,Devon Balas,139,2,Robin Sather
1,4,Robin Sather,400,9,Devon Balas
1,4,Scott Bellamy,400,10,Kyle Bowen
1,4,Kyle Bowen,20,1,Scott Bellamy
1,4,Nicholas Brown,351,9,Jakub Charmo
1,4,Jakub Charmo,130,2,Nicholas Brown
1,4,Justin Campeau,50,5,Patrick Logan
1,4,Patrick Logan,82,6,Justin Campeau
1,4,Paul Tomashevskyi,400,10,Shawn Tweten
1,4,Shawn Tweten,0,1,Paul Tomashevskyi
1,4,Owen Evans,15,2,Landon Vomastic
1,4,Landon Vomastic,289,9,Owen Evans
1,4,Sean Newman,416,10,John Benedict
1,4,John Benedict,37,1,Sean Newman
1,4,Tyler Szorcsik,188,6,John Fischer
